source	detector	w661			w735			w785			w808			w826			w849		
3	8	1	8.29907E-05	225.2510223	1	4.75583E-05	173.2593842	1	8.77892E-05	191.0926514	1	0.000161947	356.4000244	1	6.83366E-05	329.1659241	1	4.36501E-05	211.9602661
3	9	1	0.000756784	154.214859	1	2.98158E-05	151.4020386	1	0.000428676	129.5617828	1	0.000742601	299.0298767	1	0.000391669	249.5136261	1	4.54985E-05	179.7099915
3	10	1	0.000616125	192.7961121	1	5.04078E-05	182.3673706	1	0.000451735	173.8416595	1	0.000754152	342.4224854	1	0.000416582	292.442749	1	6.60198E-05	218.3955536
3	11	1	0.000131502	175.8274841	1	7.0199E-06	155.6017609	1	9.03445E-05	162.5659943	1	0.000173514	334.3049927	1	7.20514E-05	282.3851624	1	1.00978E-05	191.8495941
3	12	1	3.92105E-05	187.1959534	1	4.4747E-06	171.8167572	1	7.67786E-05	169.7110748	1	0.000128267	337.4778748	1	6.91365E-05	289.2615967	1	5.6698E-06	207.5005035
3	13	1	1.36517E-05	202.711731	1	3.39406E-05	180.5070953	1	4.88015E-05	177.6847229	1	9.28205E-05	340.193573	1	6.35676E-05	303.7418213	1	3.43239E-05	215.7130432
3	14	1	1.38446E-05	92.73851013	1	3.69318E-05	130.4511566	1	4.13757E-05	145.7256317	1	3.10687E-05	305.3293457	1	3.52725E-05	249.9436188	1	4.48796E-05	151.2685242
3	15	1	1.32736E-05	100.7203293	1	8.0427E-06	161.7021942	1	8.2945E-06	86.25192261	1	1.77433E-05	251.4575195	1	1.07319E-05	213.4244232	1	6.9784E-06	186.3420868
3	16	1	6.18069E-05	116.3623657	1	4.46239E-05	183.1634369	1	2.26159E-05	61.86935043	1	6.21281E-05	250.620285	1	4.75238E-05	208.1397095	1	3.76984E-05	205.6511688
3	1	1	0.004944979	178.9800568	1	0.000907468	146.4747772	1	0.004807213	132.9912262	1	0.004774967	313.176239	1	0.004960172	254.0944519	1	0.000546229	164.4286346
3	2	1	0.032683138	178.9229889	1	0.009593358	117.6388321	1	0.03065045	137.253479	1	0.029096015	317.2904663	1	0.034652568	261.2129211	1	0.010762433	163.0771942
4	5	1	0.495700181	118.0256805	1	0.002734097	135.9589844	1	0.109133624	76.36222076	1	0.318866342	245.757309	1	0.076059982	226.5346527	1	0.002421174	169.2764282
4	6	1	3.20092E-05	321.6140442	1	8.3891E-06	128.7966461	1	8.5708E-06	205.2390137	1	8.5413E-06	45.67718506	1	6.9802E-06	4.813843727	1	7.7969E-06	165.9687805
4	7	1	0.01510016	161.4191589	1	0.000255637	173.0871735	1	0.002493136	126.0885315	1	0.010287751	298.3883362	1	0.00189812	262.2644043	1	0.000417742	186.9020844
4	8	1	9.94276E-05	162.0100861	1	1.7597E-06	167.6627045	1	0.000219748	129.717453	1	0.000233079	304.6405029	1	0.000178188	252.5795441	1	4.9474E-06	182.6117859
4	9	1	0.002024136	151.0920563	1	5.57126E-05	156.5452118	1	0.001084762	124.7388763	1	0.001885518	294.3045959	1	0.000776827	247.2424927	1	8.62579E-05	181.5617523
4	10	1	0.001068848	158.0164948	1	2.91905E-05	156.9601135	1	0.001006962	130.9581909	1	0.001799652	299.4177246	1	0.000565614	254.1367645	1	0.000060118	181.4770203
4	11	1	0.000714192	191.6583252	1	4.59255E-05	192.0465393	1	0.000703554	177.3824921	1	0.001690575	341.133728	1	0.000545178	295.2669983	1	0.000078349	224.0571899
4	12	1	0.00011762	177.9659119	1	6.0008E-06	155.177002	1	0.000129454	163.7193451	1	0.000245329	334.6256104	1	8.78343E-05	282.7394104	1	1.13007E-05	190.5719452
4	13	1	1.63085E-05	165.3168335	1	3.8982E-06	173.5501862	1	8.25052E-05	166.6160736	1	0.000136398	333.0421448	1	6.73133E-05	284.0137024	1	0.000005746	204.4275055
4	14	1	2.91319E-05	55.54286194	1	2.82259E-05	181.7341003	1	2.50613E-05	159.0675201	1	0.000045493	314.5147095	1	3.46785E-05	288.2338867	1	3.39005E-05	214.6621552
4	15	1	3.35191E-05	82.79812622	1	3.25084E-05	134.5475311	1	0.000037426	131.9098358	1	3.01243E-05	283.8487244	1	3.97245E-05	226.2785187	1	4.47657E-05	155.2658844
4	16	1	3.09279E-05	113.6019211	1	0.000007268	154.4012604	1	2.62541E-05	92.02986145	1	8.07832E-05	265.0454407	1	2.89055E-05	225.2343903	1	8.6343E-06	165.9197083
4	1	1	0.011380056	152.0109558	1	0.000227118	168.2721252	1	0.009136096	114.7545395	1	0.010598716	289.7077637	1	0.009506026	236.3555603	1	0.002052948	171.3721771
4	2	1	0.004763111	189.407959	1	0.000869178	154.9199524	1	0.004688372	140.8323517	1	0.004632592	319.0467529	1	0.004830123	258.8458862	1	0.000529165	170.3409576
4	3	1	0.031553809	176.7896729	1	0.008981575	116.4730072	1	0.029526806	135.5137787	1	0.028181261	314.6921692	1	0.033846494	257.656311	1	0.010392298	160.0468597
5	6	1	0.595434129	112.3185349	1	0.007438178	130.6008148	1	0.166112572	77.63941956	1	0.442298859	237.7134857	1	0.130501226	208.2105255	1	0.005847052	162.6793671
